index,Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
0,1996,Puerto Rico,9.4%,5.1%,16%,69.5%,"Puerto Rico
"
1,1997,Puerto Rico,9.4%,5%,15.7%,69.9%,"Puerto Rico
"
2,1998,Puerto Rico,10.1%,5.2%,16.8%,67.9%,"Puerto Rico
"
3,1999,Puerto Rico,9.7%,4%,15.3%,71%,"Puerto Rico
"
4,2000,Puerto Rico,9.2%,3.9%,15.2%,71.6%,"Puerto Rico
"
5,2001,Puerto Rico,8%,4.5%,17%,70.5%,"Puerto Rico
"
6,2001,Virgin Islands,6.9%,2.7%,12.6%,77.8%,"Virgin Islands
"
7,2002,Puerto Rico,8.8%,4.4%,16.9%,69.8%,"Puerto Rico
"
8,2002,Virgin Islands,7%,2.4%,12.1%,78.5%,"Virgin Islands
"
9,2003,Puerto Rico,8.9%,4.6%,17.7%,68.8%,"Puerto Rico
"
10,2003,Virgin Islands,7.9%,2%,13.6%,76.4%,"Virgin Islands
"
11,2004,Puerto Rico,8.2%,4.4%,15.2%,72.2%,"Puerto Rico
"
12,2004,Virgin Islands,5.9%,3.5%,9.9%,80.7%,"Virgin Islands
"
13,2005,Puerto Rico,7.9%,5.2%,16.9%,70%,"Puerto Rico
"
14,2005,Virgin Islands,5.3%,2.8%,12.8%,79.1%,"Virgin Islands
"
15,2006,Puerto Rico,7.7%,4.8%,16.8%,70.7%,"Puerto Rico
"
16,2006,Virgin Islands,5.8%,3.1%,13.1%,78%,"Virgin Islands
"
17,2007,Puerto Rico,7.5%,4.7%,19.2%,68.6%,"Puerto Rico
"
18,2007,Virgin Islands,5.6%,3%,11.9%,79.5%,"Virgin Islands
"
19,2008,Puerto Rico,7.5%,4.1%,18.3%,70.1%,"Puerto Rico
"
20,2008,Virgin Islands,4.1%,2.3%,11.5%,82.1%,"Virgin Islands
"
21,2009,Puerto Rico,6.9%,3.7%,18%,71.5%,"Puerto Rico
"
22,2010,Puerto Rico,7.5%,4.4%,17.3%,70.8%,"Puerto Rico
"
23,1999,Louisiana,18.7%,4.8%,20.7%,55.8%,"Louisiana
(31.31265999975932, -92.44567999993188)"
24,2010,Nevada,16.5%,4.9%,25.8%,52.8%,"Nevada
(39.49323999972637, -117.07183999971608)"
25,1996,Nebraska,19.5%,2.6%,23.6%,54.3%,"Nebraska
(41.6410400000961, -99.36572999973953)"
26,2003,Vermont,15.4%,4.2%,30.4%,50.1%,"Vermont
(43.625379999687425, -72.51764000028561)"
27,2001,Tennessee,19.7%,4.7%,19.1%,56.6%,"Tennessee
(35.68094000038087, -85.77449000011325)"
28,2008,Guam,21.2%,6.2%,19.4%,53.2%,
29,2007,Guam,23.3%,7.6%,14.1%,54.9%,
30,2003,Guam,26.3%,7.8%,14.3%,51.7%,
31,2002,Guam,24.8%,7.1%,15.5%,52.6%,
32,2001,Guam,26.5%,4.7%,11.8%,57%,
33,2003,Delaware,16.9%,5%,28.1%,50%,"Delaware
(39.00883000020451, -75.57774000040052)"
34,1998,Vermont,18.6%,3.7%,28.6%,49.1%,"Vermont
(43.625379999687425, -72.51764000028561)"
35,2006,Oklahoma,18.9%,6.2%,23.7%,51.2%,"Oklahoma
(35.4720099999617, -97.52034999975251)"
36,2004,Washington,14%,5.3%,25.3%,55.5%,"Washington
(47.522280000022135, -120.47001000026114)"
37,1998,New York,18.4%,5.7%,24.3%,51.6%,"New York
(42.82699999955048, -75.54396999981549)"
38,2005,South Dakota,13.8%,6%,25.4%,54.8%,"South Dakota
(44.353130000049646, -100.37353000040906)"
39,1999,Illinois,19.8%,4.5%,23.8%,51.9%,"Illinois
(40.485010000411364, -88.99770999971656)"
40,1997,Indiana,21.7%,4.7%,23.5%,50.2%,"Indiana
(39.76690999989677, -86.14996000035359)"
41,2000,Illinois,16.2%,6.2%,22.6%,55.1%,"Illinois
(40.485010000411364, -88.99770999971656)"
42,2006,Connecticut,11.9%,5.1%,28.2%,54.8%,"Connecticut
(41.56265999995918, -72.6498400002157)"
43,2005,Montana,14.5%,4.7%,28.5%,52.3%,"Montana
(47.06653000015956, -109.42441999998289)"
44,2002,Missouri,22%,4.5%,25.5%,48%,"Missouri
(38.63578999960896, -92.5663000000448)"
45,2002,Nevada,21.1%,5%,24.7%,49.2%,"Nevada
(39.49323999972637, -117.07183999971608)"
46,2001,Florida,17.5%,4.9%,27.5%,50.1%,"Florida
(28.932039999846268, -81.9289599999039)"
47,2004,Missouri,18.5%,5.6%,24.2%,51.7%,"Missouri
(38.63578999960896, -92.5663000000448)"
48,2007,North Carolina,17.6%,5.3%,24.8%,52.3%,"North Carolina
(35.46624999963797, -79.1593199999179)"
49,2010,Louisiana,15.9%,6.2%,22%,56%,"Louisiana
(31.31265999975932, -92.44567999993188)"
50,1999,Utah,10.3%,3.7%,17.3%,68.8%,"Utah
(39.36070000030492, -111.58712999994941)"
51,2001,Hawaii,16.5%,4%,24%,55.5%,"Hawaii
(21.304850000427336, -157.85774999956269)"
52,2008,Montana,13.8%,4.7%,26.8%,54.7%,"Montana
(47.06653000015956, -109.42441999998289)"
53,2001,Vermont,16.9%,5.5%,30%,47.6%,"Vermont
(43.625379999687425, -72.51764000028561)"
54,2000,Georgia,18.4%,5.1%,22.7%,53.8%,"Georgia
(32.83967999993223, -83.62758000031658)"
55,2004,Virginia,15.9%,5%,23.3%,55.8%,"Virginia
(37.54268000028196, -78.45789000012326)"
56,2004,Nebraska,14.9%,5.4%,21.2%,58.6%,"Nebraska
(41.6410400000961, -99.36572999973953)"
57,2009,Massachusetts,10.9%,4%,28.5%,56.6%,"Massachusetts
(42.27687000005062, -72.08269000004333)"
58,2002,Alabama,19.2%,5.2%,23.2%,52.4%,"Alabama
(32.840569999605975, -86.63186000013877)"
59,1995,Mississippi,20.5%,2.8%,20.8%,55.8%,"Mississippi
(32.7455100000866, -89.53803000008429)"
60,2010,California,7.5%,4.6%,23.1%,64.8%,"California
(37.638300000444815, -120.99958999997835)"
61,1996,Iowa,19.6%,4%,23.8%,52.6%,"Iowa
(42.469390000048634, -93.81649000001335)"
62,2002,Idaho,16.3%,4.3%,24.2%,55.2%,"Idaho
(43.682590000228515, -114.36368000023168)"
63,2007,Nevada,16.1%,5.3%,25.4%,53.1%,"Nevada
(39.49323999972637, -117.07183999971608)"
64,2010,Kansas,11.9%,5.1%,24.2%,58.8%,"Kansas
(38.34774000000118, -98.20077999969709)"
65,2008,Nebraska,13.4%,4.9%,25%,56.6%,"Nebraska
(41.6410400000961, -99.36572999973953)"
66,1998,Missouri,22.3%,4%,23.7%,50%,"Missouri
(38.63578999960896, -92.5663000000448)"
67,2001,Rhode Island,17.6%,6.3%,28.9%,47.3%,"Rhode Island
(41.70828000002217, -71.5224700001902)"
68,1995,New Hampshire,18.8%,2.3%,32.7%,46.2%,"New Hampshire
(43.65595000019255, -71.50036000041354)"
69,2002,New Mexico,15%,6.2%,26%,52.8%,"New Mexico
(34.52088000011207, -106.24057999976702)"
70,2000,North Carolina,20.7%,5.4%,24.3%,49.6%,"North Carolina
(35.46624999963797, -79.1593199999179)"
71,2002,Connecticut,14.4%,5%,30.4%,50.2%,"Connecticut
(41.56265999995918, -72.6498400002157)"
72,1998,New Mexico,16.2%,6.4%,24.3%,53.2%,"New Mexico
(34.52088000011207, -106.24057999976702)"
73,2009,Maryland,10.4%,4.8%,23.4%,61.5%,"Maryland
(39.29057999976732, -76.6092600004485)"
74,2005,Mississippi,18.6%,5.1%,20.9%,55.5%,"Mississippi
(32.7455100000866, -89.53803000008429)"
75,2005,Minnesota,14.9%,5.1%,28.7%,51.2%,"Minnesota
(46.3556499998478, -94.79419999982997)"
76,1998,Alabama,19.4%,5.2%,21.5%,53.9%,"Alabama
(32.840569999605975, -86.63186000013877)"
77,1996,Virginia,19.6%,5.2%,22.9%,52.3%,"Virginia
(37.54268000028196, -78.45789000012326)"
78,2001,Montana,16.6%,5.4%,27.3%,50.8%,"Montana
(47.06653000015956, -109.42441999998289)"
79,1996,North Carolina,21.9%,3.8%,23.1%,51.2%,"North Carolina
(35.46624999963797, -79.1593199999179)"
80,1995,Iowa,20.2%,2.9%,23.9%,53%,"Iowa
(42.469390000048634, -93.81649000001335)"
81,2006,Ohio,16.8%,5.6%,24.3%,53.3%,"Ohio
(40.06020999969189, -82.40426000019869)"
82,2006,Montana,13.3%,5.6%,26.8%,54.3%,"Montana
(47.06653000015956, -109.42441999998289)"
83,1999,Idaho,16%,5.5%,24.3%,54.2%,"Idaho
(43.682590000228515, -114.36368000023168)"
84,2008,Vermont,12.2%,4.6%,32.2%,51.1%,"Vermont
(43.625379999687425, -72.51764000028561)"
